name,resultv,latency,inlen,outlen,mem,tprocess2,tprocess3,tkafka,kafkalen,tdatabase,resulsetlen,numthread,tranrate,loadcpu,freemem
1678837571613,200,89469,9502,4759,62487.203125,172,110,89171,6850,16,17,2,20,0.005321878103100958,537075712
1678837540799,200,120874,222,119,53013.9375,469,0,120374,9250,31,17,2,20,0.01565856517836417,513077248
1678837667323,200,112853,19382,9699,26539.1171875,344,31,112297,8590,181,17,2,20,0.003837305371166164,563011584
1678837667763,200,114314,7522,3769,49704.875,78,141,113709,8730,386,17,2,20,0.0781245156280031,549507072
1678837786258,200,67749,18862,9439,22303.1640625,2735,6065,58707,4480,242,17,2,20,0.00690071304321036,393826304
1678837861738,200,2673,3542,2319,24746.4609375,70,19,2556,190,28,1096,2,20,0.00642121468501008,514691072
1678837789954,200,79130,322,169,57390.7109375,2685,3907,72512,5570,26,17,2,20,0.014185238699891325,439189504
1678837875244,200,34802,1322,5589,28007.6171875,72,73,34180,2600,477,9856,2,20,0.03840416483380047,456851456
1678837916139,200,14267,13662,9781,33733.734375,175,448,13561,1040,83,5900,2,20,0.0062830528333623695,481611776
1678837873741,200,101648,4542,2279,53165.203125,64,144,101408,7790,32,17,2,20,0.013004579884279464,467939328
1678837936638,200,54132,18262,9139,26592.5078125,493,21,53588,4110,30,17,2,20,0.007679247018007085,476631040
1678837981570,200,96019,6702,3359,30948.8984375,549,10,95433,7310,27,17,2,20,0.007292716023678331,797581312
1678837996855,200,102795,10322,5169,42905.28125,77,28,102629,7890,61,17,2,20,0.00912082776449371,777064448
1678838083736,200,117130,19402,9709,21135.421875,80,40,116982,8960,28,17,2,20,0.006307129379644547,588746752
1678838105927,200,97219,16502,8259,34865.1015625,67,40,97087,7460,25,17,2,20,0.00668968774027105,530403328
1678838206971,200,22067,9862,8766,44901.0,96,650,21288,1630,33,7670,2,20,0.006338951538454509,497287168
1678838209244,200,55726,3902,1959,23959.5703125,253,133,55309,4240,30,17,2,20,0.02091700040531011,446083072
1678838235251,200,31906,6982,8167,37447.640625,91,169,31616,2420,30,9352,2,20,0.006302084652969853,435503104
1678838273265,200,39517,13922,12421,58525.546875,319,237,38929,2980,32,10920,2,20,0.017423049665493056,818573312
1678838318956,200,28852,9442,9089,29653.328125,101,36,28683,2200,32,8736,2,20,0.005989171866388563,694870016
1678838271060,200,79342,5882,2949,25645.84375,385,94,78831,6050,32,17,2,20,0.008294322961370594,801619968
1678838356495,200,6288,9302,5946,29508.265625,163,144,5949,450,32,2590,2,20,0.016344144994835982,622071808
1678838368852,200,12174,5022,5111,34128.71875,297,0,11846,900,15,5200,2,20,0.007565926334654827,597458944
1678838354034,200,77362,18502,9259,29644.421875,63,34,76390,5860,875,17,2,20,0.008230799016227282,658722816
1678838437535,200,57864,10902,5459,52273.8203125,328,235,57269,4390,32,17,2,20,0.005125618830313117,529752064
1678838387208,200,115207,3842,1929,48129.5546875,62,219,114895,8830,31,17,2,20,0.005512094755678126,543358976
1678838566491,200,14602,282,3121,57571.53125,590,66,13914,1060,32,5960,6,60,0.004160997223049107,469397504
1678838567326,200,13053,962,3284,19643.1171875,222,134,12661,970,36,5606,6,60,0.042035037717198645,762576896
1678838566994,200,20544,3162,5266,27574.8125,185,374,19953,1530,32,7370,6,60,0.05526085555298654,699015168
1678838566660,200,30159,10442,9533,40021.0859375,1863,119,28144,2160,33,8624,6,60,0.032417106605703835,454991872
1678838566826,200,41306,14322,12705,60305.921875,1594,19,39604,3040,89,11088,6,60,0.03212349434869096,466767872
1678838591761,200,48409,18222,15539,39948.2890625,303,225,47792,3660,85,12857,6,60,0.012434029020904368,1074970624
1678838611377,200,40545,12642,11949,60964.2109375,136,29,40339,3100,41,11256,6,60,0.008954139886459787,1081790464
1678838567159,200,94632,2342,1179,65934.859375,1471,249,92883,7140,29,17,6,60,0.03493980871634296,725909504
1678838582312,200,103213,15522,7769,40799.7890625,241,46,102895,7890,31,17,6,60,0.012061945304489348,1060102144
1678838600000,200,92110,15662,7839,52530.3828125,227,79,91695,7040,109,17,6,60,0.009461073631130995,1087164416
1678838646291,200,60256,9302,4659,37564.078125,1395,37,58795,4510,29,17,6,60,0.00670475127496835,1025531904
1678838586755,200,127390,3102,1559,29041.5546875,71,10,127282,9780,27,17,6,60,0.01961145953234231,1119907840
1678838720233,200,22399,15362,11606,39117.109375,193,38,22139,1690,29,7850,6,60,0.018558122131565914,763465728
1678838658017,200,87465,9862,4939,32610.515625,62,14,87355,6710,34,17,6,60,0.008643576782668085,1013653504
1678838698280,200,53799,8522,4269,52621.09375,62,16,53690,4110,31,17,6,60,0.017627680817698756,766898176
1678838712685,200,41282,1642,6435,19366.8984375,335,72,40781,3090,94,11228,6,60,0.008697555652875406,760958976
1678838666898,200,89350,14122,7069,23985.8984375,81,101,89144,6850,24,17,6,60,0.01324673131429504,1036447744
1678838691681,200,74889,1122,569,59170.0625,1266,63,73544,5650,16,17,6,60,0.006320626784823649,743186432
1678838758185,200,25862,15302,11921,28111.6171875,765,29,25036,1920,32,8540,6,60,0.027462877220494463,713224192
1678838748742,200,45147,18642,15445,52956.625,66,140,44910,3450,31,12248,6,60,0.007395559319643252,738766848
1678838760053,200,60748,5962,2989,35030.2890625,72,2,60659,4650,15,17,6,60,0.03419035141718459,771780608
1678838751639,200,74782,6282,3149,27384.625,203,0,74547,5720,32,17,6,60,0.012318833518340531,729501696
1678838826884,200,13211,10002,7891,33593.453125,172,0,13024,1000,15,5780,6,60,0.0075363236236162204,671866880
1678838762373,200,98153,2222,1119,50728.953125,47,62,98028,7530,16,17,6,60,0.020173793736246854,734416896
1678838790177,200,88657,11142,5579,57158.78125,219,0,88407,6790,31,17,6,60,0.007078406672629365,729841664
1678838772638,200,116115,9582,4799,40423.71875,47,0,116037,8900,31,17,6,60,0.009125985796286503,758120448
1678838800120,200,96108,3322,1669,38635.265625,156,94,95827,7360,31,17,6,60,0.009551532863105852,712482816
1678838847140,200,60802,10822,5419,63259.5234375,110,31,60617,4660,44,17,6,60,0.005481636779905881,673267712
1678838832907,200,92059,15602,7809,56363.3515625,500,156,91378,7020,25,17,6,60,0.006710820558851538,666738688
1678838914143,200,21937,14942,11351,65722.40625,180,38,21690,1660,28,7760,6,60,0.010552973533724901,1019584512
1678838931034,200,14030,17222,11606,70932.9375,60,3,13935,1070,32,5990,6,60,0.009691181210873433,982966272
1678838866618,200,89155,1122,569,61105.1171875,422,0,88701,6810,29,17,6,60,0.006423695770068281,687124480
1678838902304,200,54059,17262,8639,21251.203125,78,84,53873,4130,24,17,6,60,0.018311186167653103,1052381184
1678838885610,200,114786,15902,7959,54321.390625,93,63,114614,8810,16,17,6,60,0.00821096948106925,975749120
1678838942148,200,63205,3222,1619,33709.0859375,73,3,63092,4850,37,17,6,60,0.009119773677141415,988827648
1678838962448,200,52373,1302,659,52486.8515625,57,260,52025,4000,31,17,6,60,0.07773669226601587,1009180672
1678838894954,200,121710,19022,9519,48420.3828125,234,125,121304,9320,47,17,6,60,0.013289295937779048,1014661120
1678839006700,200,44173,15442,13729,25437.8046875,222,13,43906,3370,32,12016,6,60,0.00476267238037581,1019408384
1678838961852,200,95939,6742,3379,32057.265625,512,7,95357,7330,63,17,6,60,0.019028050282876966,1016786944
1678838951170,200,119855,14242,7129,21013.8125,71,19,119749,9200,16,17,6,60,0.012133839146816991,1028440064
1678839063917,200,9081,7682,5803,23852.359375,63,125,8862,680,31,3924,6,60,0.01435146883418189,957890560
1678839011485,200,79913,22,19,19983.25,93,32,79760,6130,28,17,6,60,0.011566411846408373,1037889536
1678839022824,200,88260,482,249,21761.421875,94,16,88072,6770,78,17,6,60,0.013035110400085427,1015955456
1678839117148,200,21440,16242,11956,31125.125,109,0,21299,1630,32,7670,6,60,0.005479344523379975,934785024
1678839020947,200,123979,18662,9339,35477.984375,187,16,123745,9510,31,17,6,60,0.01808809484692883,1019461632
1678839057362,200,92792,19542,9779,43823.9375,485,0,92243,7090,64,17,6,60,0.0022589390504790196,947908608
1678839077165,200,74793,9222,4619,34185.6171875,62,125,74580,5730,26,17,6,60,0.009441909715522662,948277248
1678839079100,200,127781,2522,1269,46137.21875,469,47,127250,9760,15,17,6,60,0.012195116240335807,969854976
1678839158059,200,50569,15422,14444,29470.515625,125,1,50410,3870,33,13466,6,60,0.017666211490838867,912265216
1678839151207,200,72871,17582,8799,63407.421875,234,36,72585,5580,16,17,6,60,0.022211953859247867,937472000
1678839213922,200,16198,5802,6136,23748.578125,94,16,16026,1230,62,6470,6,60,0.03429645836662376,1241362432
1678839143828,200,130563,7902,3959,33317.3671875,844,47,129640,9960,32,17,6,60,0.005269198410119565,923496448
1678839156262,200,121049,17522,8769,28543.2421875,442,39,120544,9260,24,17,6,60,0.02171401877897829,917606400
1678839229442,200,86829,11522,5769,30743.0234375,62,78,86658,6660,31,17,6,60,0.003529245462389011,1208901632
1678839212953,200,107862,19082,9549,54569.234375,338,4,107504,8260,16,17,6,60,0.003978534913857299,1239384064
1678839326170,200,13480,2162,3986,60160.0859375,219,62,13168,1010,31,5810,6,60,0.003474617123409901,1176494080
1678839282419,200,117118,4662,2339,41264.8203125,250,78,116759,8970,31,17,6,60,0.013267694264093433,1179725824
1678839279498,200,128171,2462,1239,29284.2734375,53,80,128007,9840,31,17,6,60,0.005892371572126787,1179078656
1678839342703,200,70981,2262,1139,61296.7109375,172,32,70762,5440,15,17,6,60,0.005194306941674517,1132298240
1678839411830,200,70596,16902,8459,38143.6796875,47,187,70346,5400,16,17,6,60,0.0037846498094597546,1132236800
1678839703275,200,116178,15062,374070,259231.046875,657,876,2906,21,111739,733078,6,60,0.22027754547797337,585330688
1678839703929,200,123072,602,366840,121322.2421875,609,266,6814,226,115383,733078,6,60,0.17919725628158611,551673856
1678839703760,200,125777,16922,375000,129474.375,1062,69,2172,240,122474,733078,6,60,0.17919725628158611,553910272
1678839703611,200,127361,102,366590,311237.5078125,326,609,3479,260,122947,733078,6,60,0.22027754547797337,585134080
1678839703442,200,128403,13262,373170,230862.59375,611,705,3078,9,119289,733078,6,60,0.22027754547797337,583892992
1678839703127,200,131521,17442,375260,117752.3125,525,740,7814,177,122442,733078,6,60,0.22027754547797337,580460544
1678839895464,200,79885,19962,376520,81434.53125,1422,1044,594,130,76825,733078,6,60,0.19071418010500346,588406784
1678839894721,200,92165,18182,375630,199403.53125,797,1998,11266,198,78104,733078,6,60,0.19071418010500346,534708224
1678839895593,200,110388,8642,370860,75840.375,984,719,11642,36,97043,733078,6,60,0.19071418010500346,587833344
1678839894891,200,115701,5942,369510,399085.0234375,812,1976,11032,35,101662,733078,6,60,0.19071418010500346,534134784
1678839895056,200,117916,17342,375210,443950.203125,1547,1165,11282,158,103922,733078,6,60,0.19071418010500346,532307968
1678839895220,200,119966,15022,374050,256598.8984375,1422,1242,11282,160,106020,733078,6,60,0.19071418010500346,540102656
1678839981483,200,50777,842,366960,311705.53125,16923,109,821,276,32924,733078,6,60,0.4793178919207872,514887680
1678839993429,200,61774,18122,375600,363611.1484375,22728,7989,11153,17,19904,733078,6,60,0.40848570539523715,475422720
1678840019367,200,118951,13702,373390,78223.0625,6729,24586,395,200,87241,733078,6,60,0.3330262923855109,594325504
1678840012105,200,131543,16282,374680,166532.3359375,743,22165,20642,257,87993,733078,6,60,0.30868359918225435,559493120
1678840016966,200,121930,202,366640,128976.09375,743,9941,20592,250,90654,733078,6,60,0.3330262923855109,593633280
1678840021357,200,124515,2622,367850,103897.59375,6761,24602,4735,129,88417,733078,6,60,0.3330262923855109,596561920
1678840039383,200,110056,6222,369650,70916.078125,13436,11141,297,204,85182,733078,6,60,0.32558160909030504,529952768
1678840061300,200,104078,11242,372160,227301.53125,17217,7278,4661,296,74922,733078,6,60,0.29922966805299994,517279744
1678840149704,200,59275,11302,372190,591706.0859375,11880,5071,914,225,41410,733078,6,60,0.5404546441905927,547405824
1678840150050,200,121626,1402,367240,72375.578125,185,11194,26090,49,84157,733078,6,60,0.4237646980188241,545927168
1678840165551,200,149489,12222,372650,163801.6015625,13379,25298,828,246,109984,733078,6,60,0.3300539918984969,545660928
1678840152650,200,165911,11802,372440,81415.8046875,873,11273,38952,293,114813,733078,6,60,0.4237646980188241,549683200
1678840155125,200,166927,8902,370990,102956.046875,858,11262,38791,34,116016,733078,6,60,0.4237646980188241,549969920
